City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,salmon arm,50.6998,-119.3024,10.24,94,100,0.97,CA,2023-04-23
306,grao de murviedro,39.6417,-0.2389,19.39,80,7,3.27,ES,2023-04-23
307,san clemente del tuyu,-36.3569,-56.7235,16.82,89,69,3.85,AR,2023-04-23
308,taroa,8.7058,171.2275,27.82,81,42,9.12,MH,2023-04-23
309,qaqortoq,60.7167,-46.0333,1.64,82,90,1.02,GL,2023-04-23
310,el calafate,-50.3408,-72.2768,8.88,89,65,1.45,AR,2023-04-23
311,maragogi,-9.0122,-35.2225,25.53,82,81,3.64,BR,2023-04-23
312,yatou,37.15,122.3833,10.9,47,100,3.69,CN,2023-04-23
313,bandarbeyla,9.4942,50.8122,27.46,70,27,2.15,SO,2023-04-23
314,kyenjojo,0.6328,30.6214,16.62,100,100,0.38,UG,2023-04-23
315,namibe,-15.1961,12.1522,23.94,68,70,4.22,AO,2023-04-23
316,kahuta,33.5913,73.3868,18.8,42,0,3.08,PK,2023-04-23
317,mount isa,-20.7333,139.5,23.87,41,100,3.6,AU,2023-04-23
318,shihezi,44.3,86.0333,9.56,38,9,2.08,CN,2023-04-23
319,palopo,-2.9996,120.1921,25.46,86,96,1.04,ID,2023-04-23
320,trincomalee,8.5711,81.2335,28.34,82,99,4.29,LK,2023-04-23
321,thinadhoo,0.5333,72.9333,28.7,75,84,2.62,MV,2023-04-23
322,dawson creek,55.7666,-120.2362,7.8,71,75,5.66,CA,2023-04-23
323,olonkinbyen,70.9221,-8.7187,-4.49,60,37,6.38,SJ,2023-04-23
324,harstad,68.799,16.5293,-3.55,90,24,2.68,NO,2023-04-23
325,santa fe de antioquia,6.5569,-75.8281,29.98,86,79,1.29,CO,2023-04-23
326,fortuna,40.5982,-124.1573,13.7,82,100,3.13,US,2023-04-23
327,saint-pierre,-21.3393,55.4781,25.82,73,100,2.57,RE,2023-04-23
328,bertrix,49.856,5.2554,7.92,96,72,4.38,BE,2023-04-23
329,aginskoye,51.1,114.53,-1.63,44,100,5.96,RU,2023-04-23
330,labytnangi,66.6572,66.4183,-5.93,77,100,6.98,RU,2023-04-23
331,enoch,37.7733,-113.0244,11.14,62,100,8.23,US,2023-04-23
332,khasab,26.1799,56.2477,27.95,26,100,3.35,OM,2023-04-23
333,inzhavino,52.3185,42.4937,10.59,58,69,2.27,RU,2023-04-23
334,sokone,13.8833,-16.3667,25.66,38,6,6.14,SN,2023-04-23
335,tezu,27.9167,96.1667,18.98,89,100,0.98,IN,2023-04-23
336,prince rupert,54.3161,-130.3201,8.05,86,100,9.77,CA,2023-04-23
337,nogliki,51.8333,143.1667,0.65,81,74,7.67,RU,2023-04-23
338,camacupa,-12.0167,17.4833,16.94,94,89,1.61,AO,2023-04-23
339,vila franca do campo,37.7167,-25.4333,18.23,96,94,7.23,PT,2023-04-23
340,kampene,-3.6,26.6667,19.51,100,100,0.63,CD,2023-04-23
341,laojunmiao,39.8333,97.7333,4.96,54,100,4.65,CN,2023-04-23
342,kasempa,-13.4584,25.8338,20.32,74,100,2.07,ZM,2023-04-23
343,revda,56.801,59.9303,3.49,93,78,2.31,RU,2023-04-23
